url,platform,performance_score,first_contentful_paint,speed_index,largest_contentful_paint,interactive,total_blocking_time,cumulative_layout_shift
https://socalhomebuyers.com/los-angeles/sell-my-house-fast-monterey-park-ca/,Non-Carrot,97.0,1652.0,1652.0,2403.0,1652.0,0.0,0.018
https://www.homelight.com/blog/we-buy-houses-los-angeles/,Non-Carrot,97.0,1963.005,1963.005,2113.005,1963.005,0.0,0.006
https://flipsplit.com/location-la-county/,Non-Carrot,59.0,2851.225,2891.593,5251.437,10308.572,645.752,0.004
https://www.needtosellmyhouse.com/locations/california/newport-beach/,Non-Carrot,67.0,3005.748,3005.748,5045.247,7366.502,301.0,0.097
https://prospectgroup.net/sell-my-house-fast-long-beach/,Non-Carrot,39.0,6002.031,6004.664,7952.041,14165.811,1034.0,0.02
https://sellmyhouseeasyfast.com/we-buy-houses-long-beach-ca/,Non-Carrot,39.0,3157.717,3776.686,9756.489,11589.914,1854.5,0.083
https://www.homego.com/sell-your-home/newport-beach-ca/,Non-Carrot,49.0,980.004,1544.257,8701.058,8908.008,1502.5,0.024
https://tarekbuyshouses.com/locations/we-buy-houses-los-angeles-ca/,Non-Carrot,54.0,1528.006,3380.416,5140.453,12153.031,1475.5,0.0
https://flipsplit.com/location-orange-county/,Non-Carrot,47.0,2892.285,2899.293,9602.039,11105.526,1077.0,0.029
https://gordonbuyshomes.com/we-buy-houses-orange-county/,Non-Carrot,46.0,2852.003,2852.003,7135.579,2852.003,0.0,1.384
https://losangelescashhomebuyers.com/,Non-Carrot,14.0,3500.03,6420.328,10128.099,31776.898,5679.487,0.379
https://johnmedinabuyshouses.com/we-buy-houses-in-pasadena-ca-2/,Non-Carrot,66.0,2074.201,2486.215,7540.902,7815.188,357.5,0.0
https://www.sellersadvantage.com/ca/sell-my-house-fast-pasadena/,Non-Carrot,94.0,2102.0,2102.0,2177.0,2102.0,0.0,0.111
https://www.houzeo.com/blog/companies-that-buy-houses-for-cash-in-orange-county-ca/,Non-Carrot,90.0,2899.117,3021.949,2899.117,3076.431,43.0,0.017
https://tomtarrant.com/sell-house-fast-orange-county/,Non-Carrot,45.0,8853.005,8853.005,11850.322,15178.432,300.5,0.132
